Model,Class_ID,Class_Name,Precision,Recall,mAP50,mAP50-95
YOLO26s_150epochs,114,ham,0.9266636141909141,0.9692307692307692,0.972616152364382,0.8224143788730729
RTDETR_L_150epochs,115,horseradish,1.0,0.9712015495540245,0.975,0.7923894109866247
YOLO26s_150epochs,115,horseradish,0.9851164278189528,0.925720906450546,0.9537345895179349,0.7755362149881251
RTDETR_L_150epochs,116,huckleberry,1.0,0.9561759964763854,0.9645714285714285,0.7243045846205723
YOLO26s_150epochs,116,huckleberry,0.9845520451917386,0.9170424383649504,0.9442537313432837,0.7000951966517565
RTDETR_L_150epochs,117,jackfruit,0.9757599278200344,0.8879667135077549,0.9043598750975801,0.6727499130320489
YOLO26s_150epochs,117,jackfruit,0.9917125775026573,0.8799016569013495,0.9042047894839591,0.6557935452645197
RTDETR_L_150epochs,118,kale,0.9817642956615904,0.828284249932574,0.8430972367351678,0.5944636573149653
YOLO26s_150epochs,118,kale,0.9328093627918445,0.7475585073482872,0.7832014076354054,0.5339274447331619
RTDETR_L_150epochs,119,kamut,0.9826413566871112,0.9084967320261438,0.9228426422588348,0.6807372575704295
YOLO26s_150epochs,119,kamut,0.9709807700615631,0.8366013071895425,0.8608906820552948,0.6550860762480144
RTDETR_L_150epochs,120,kidney_bean,0.9933832486841611,0.9442284515651832,0.9548039215686275,0.7341581592693059
YOLO26s_150epochs,120,kidney_bean,0.9703854730422758,0.9245283018867925,0.9335812775689769,0.713300841314465
RTDETR_L_150epochs,121,kiwi,0.9929737657643685,0.9044117647058824,0.9149200000000001,0.7093755984747419
YOLO26s_150epochs,121,kiwi,0.9600492655446872,0.8834940181306228,0.9030738788266055,0.6844802188128675
RTDETR_L_150epochs,122,kohlrabi,0.9919164191882,0.9089572256179647,0.9138709677419355,0.6619669547802877
YOLO26s_150epochs,122,kohlrabi,0.9254893176225285,0.837037037037037,0.8596790051169503,0.6233456655214661
RTDETR_L_150epochs,123,kumquat,0.9916535929657789,0.9318181818181818,0.9347580645161291,0.7123515976842636
YOLO26s_150epochs,123,kumquat,0.9801801218664397,0.9393939393939394,0.9446068948412699,0.6920469096012914
RTDETR_L_150epochs,124,lamb,1.0,0.9390594909437741,0.9548550724637681,0.7322824800363699
YOLO26s_150epochs,124,lamb,0.9656292886858415,0.8881118881118881,0.9214684818392596,0.680493546299964
RTDETR_L_150epochs,125,lasagna,1.0,0.9136494033735998,0.915,0.742800096268917
