==========================================
   DATASET CLASS DISTRIBUTION REPORT
==========================================

--- SPLIT: TRAIN ---
Tổng số ảnh: 25000
Tổng số vật thể (instances): 165876
ID    | Class Name                | Count   
197   | rutabaga                  | 700     
198   | salmon                    | 683     
199   | salsa                     | 699     
200   | salt                      | 668     
201   | santol                    | 692     
202   | sapote                    | 696     
203   | sardine                   | 679     
204   | sausage                   | 696     
205   | savoy_cabbage             | 675     
206   | scallop                   | 693     
207   | semolina                  | 678     
208   | sesame_oil                | 670     
209   | shallot                   | 666     
210   | shrimp                    | 690     
211   | sorghum                   | 663     
212   | sour_cherry               | 708     
213   | soursop                   | 679     
214   | soybean                   | 697     
215   | spaghetti                 | 690     
216   | spelt                     | 683     
217   | spinach                   | 686     
218   | squab                     | 678     
219   | squirrel                  | 706     
220   | strawberry                | 688     
221   | sugar                     | 668     
222   | sun_dried_tomato          | 668     
223   | sunflower_oil             | 686     
224   | sweet_potato              | 738     
225   | swiss_chard               | 680     
226   | tangerine                 | 703     
227   | teff                      | 688     
228   | tomato                    | 690     
229   | trout                     | 685     
230   | tuna                      | 695     
231   | turkey                    | 692     
232   | turmeric                  | 669     
233   | turnip                    | 675     
234   | vegetable_oil             | 688     
235   | venison                   | 722     
236   | watercress                | 688     
237   | wheat_bran                | 699     
238   | white_peach               | 658     
239   | wild_boar                 | 683     
240   | yuzu                      | 717     

Top 3 nhiều nhất: [('sweet_potato', 738), ('arugula', 729), ('dumpling_wrapper', 729)]
